Date,Sample,Field,NDF,Clouds,Species,Type,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19
1-May,S2,K4,57.9552,cloudy,cattle,Field,461.2572727,546.9072727,752.09,448.0418182,518.09,671.8027273,561.0536364,576.8372727,288.5363636,461.0281818,994.0572727,597.9409091,595.0563636,620.5909091,2511.101818,2797.548182,3068.475455,3140.63,40.54545455
1-May,S2,K5,34.7438,cloudy,cattle,Lab,0.84,2.683,10.5,11.89,3.876,7.154,8.945,4.972,2.08,2.04,0.6,0,16.54,2.948,1.225,0.83,1.63,2.15,22.7
1-May,S2,K5,34.7438,cloudy,cattle,Field,506.049,564.152,736.166,530.895,582.361,734.583,655.895,641.941,323.138,498.31,1077.617,581.721,687.297,539.277,2629.719,3071.26,3749.92,4215.237,34.3
1-May,S2,K6,59.9516,cloudy,cattle,Lab,0,0.99,5.73,4.72,1.52,0.73,1.32,0.53,0.92,0.44,0.6,0,2.25,1.02,0.82,0.83,0.82,1.08,21.6
1-May,S2,K6,59.9516,cloudy,cattle,Field,692.6072727,773.4790909,972.0854545,573.8481818,615.21,718.5409091,624.2981818,693.9527273,301.0663636,501.5190909,1658.67,1019.031818,494.4254545,483.3318182,3702.133636,4753.102727,5444.816364,5503.550909,49.54545455
1-May,S2,P1,34.763,cloudy,horse,Lab,0,0.99,5.73,4.72,0.76,0.73,0.55,0,0.46,0.352,0.6,0,0,1.02,0.82,0.83,0.82,1.08,21
1-May,S2,P1,34.763,cloudy,horse,Field,914.458,961.933,1192.281,796.517,812.92,937.998,904.464,989.349,400.363,660.13,2049.604,1374.399,721.997,628.067,4895.498,5780.298,6852.34,6316.058,39.2
1-May,S2,P2,49.7516,cloudy,cattle,Lab,0,1.99,5.73,5.66,1.52,2.92,2.74,1.59,1.108,0.89,0.6,0,4.5,1.929,0.82,0.913,1.63,1.401,22.6
1-May,S2,P2,49.7516,cloudy,cattle,Field,1190.538,1290.319,1640.519,1027.988,1066.748,1315.487,1163.627,1253.6,548.213,892.182,2482.231,1699.56,988.956,879.314,5851.062,6775.96,7873.745,7924.647,43.2
1-May,S2,P3,50.357,cloudy,horse,Lab,0,0.99,5.73,4.72,1.52,1.752,1.32,0.53,0.92,0.44,0.6,0,2.25,1.323,0.82,0.83,0.82,1.08,21.3
1-May,S2,P3,50.357,cloudy,horse,Field,669.981,745.221,972.514,685.205,696.85,828.606,773.452,810.781,375.49,569.448,1344.679,871.129,720.263,687.473,2974.755,3462.17,4647.895,4620.203,42.4
1-May,S2,P4,48.7528,cloudy,cattle/sheep,Lab,0.84,2.98,11.46,9.44,3.730909091,9.290909091,6.683636364,3.410909091,1.85,2.056363636,0.981818182,0,10.43181818,4.07,1.63,2.188181818,2.375454545,2.935454545,23
1-May,S2,P4,48.7528,cloudy,cattle/sheep,Field,1085.31,1153.902,1372.595,965.254,982.212,1117.173,1036.706,1144.009,468.924,750.986,2097.886,1498.552,857.907,730.153,5142.169,5769.403,7057.794,6528.592,37.3
1-May,S2,P5,55.75187037,cloudy,none,Lab,0,0.99,4.77,4.055,0.76,0,0.55,0,0.46,0,0.6,0,0,0.714,0.246,0,0.82,1.08,22.2
1-May,S2,P5,55.75187037,cloudy,none,Field,1372.063,1401.801,1698.401,1226.985,1193.551,1301.377,1275.409,1379.625,578.746,870.904,2490.432,1793.496,1114.574,886.179,6486.429,7254.38,8703.062,7508.061,51.1
1-May,S2,P6,49.5552,cloudy,horse,Lab,0,0.99,4.77,4.460909091,0.76,0.73,0.55,0.385454545,0.46,0.44,0.6,0,0,1.02,0.82,0.83,0.82,1.08,22.36363636
1-May,S2,P6,49.5552,cloudy,horse,Field,1020.523,1085.266,1438.626,835.185,867.047,1023.709,877.947,1005.782,425.37,694.858,2353.539,1543.69,720.841,682.648,5291.055,6731.949,7050.031,7157.479,51.7
8-May,S1,K2,43.43811525,fair,cattle,Lab,0,0.99,5.442,5.096,1.52,0.73,1.21,0.53,0.92,0.44,0.6,0,1.13,1.02,0.82,0.83,0.901,2.15,21.2
8-May,S1,K2,43.43811525,fair,cattle,Field,1512.811,1820.534,2509.955,1223.091,1268.926,1522.394,1198.327,1385.175,654.895,936.681,2582.863,1851.396,1199.474,1156.836,7256.466,7554.714,6810.506,6651.651,37.3
8-May,S1,K3,N/A,fair,cattle,Lab,0,0.99,6.68,5.66,1.52,0.73,0.55,0.240909091,0.92,0.44,0.6,0,0,1.02,0.82,0.83,0.82,1.08,21.63636364
8-May,S1,K3,N/A,fair,cattle,Field,5039.815,5056.046,6164.683,4252.017,4086.737,4184.245,3982.184,5288.877,2721.634,2964.944,9047.021,6224.874,5465.639,2768.555,25798.167,26648.659,28703.583,26832.499,54.9
8-May,S1,K4,55.31602962,fair,cattle,Lab,0,1.99,12.41,8.49,2.28,2.19,2.2,1.06,1.39,0.89,0.78,0,3.38,2.03,1.63,1.66,1.794,2.15,22.1
8-May,S1,K4,55.31602962,fair,cattle,Field,2404.338,3318.935,5766.73,2014.92,2800.769,4692.5,2913.748,2831.138,1196.643,3299.529,7368.564,4189.359,2206.127,3820.624,15171.889,21436.848,17224.48,21458.839,41.9
8-May,S1,K5,44.76619324,fair,cattle,Lab,0,0.99,8.59,8.49,2.28,2.92,2.2,1.06,1.39,0.89,0.6,0,2.363,2.03,1.63,1.66,1.63,3.23,21.7
8-May,S1,K5,44.76619324,fair,cattle,Field,3263.348,3842.608,5510.011,3303.221,3663.688,4574.656,3970.186,3935.247,1933.523,3070.505,7495.836,4236.375,4178.146,3559.403,17572.922,21863.853,23539.205,24358.089,34.1
8-May,S1,K6,60.7092,fair,cattle,Field,3652.662,3122.89,3732.519,2584.746,2176.89,2257.884,1822.772,2732.375,1322.361,1487.878,4942.755,3692.283,2146.328,1700.832,12674.496,12424.481,14631.811,13817.379,58.6
