approach,r,iter
s1,0.7930176026930646,0
s2,0.44733619672880326,0
s3,0.7738778985169203,0
s4,0.3109330442173053,0
s1,0.7901421123021047,1
s2,-0.03154726188523761,1
s3,0.7830815878834183,1
s4,-0.16846423880100028,1
s1,0.79672124175934,2
s2,0.1336376036408545,2
s3,0.7769218186866302,2
s4,-0.0199093636175347,2
s1,0.7775770123252567,3
s2,0.005513000292038585,3
s3,0.738113613029324,3
s4,-0.115819915328865,3
s1,0.7787408626437761,4
s2,0.11093021212471643,4
s3,0.7774826994134292,4
s4,0.05741341937377349,4
s1,0.8364351483672305,5
s2,0.31593845150879696,5
s3,0.7854991466627934,5
s4,0.22215723356731426,5
s1,0.8276985662947014,6
s2,0.38471822440765446,6
s3,0.7664614199502678,6
s4,0.24692712774356532,6
s1,0.7976900271113851,7
s2,0.23576204396344713,7
s3,0.7684306875281645,7
s4,0.09175168825642724,7
s1,0.7894812555954691,8
s2,0.2950481678633551,8
s3,0.756527134161909,8
s4,0.12368080171248708,8
s1,0.7318274453151842,9
s2,0.06830996562751923,9
s3,0.6998655557774631,9
s4,-0.019895440148477606,9
s1,0.7143828862632123,10
s2,0.07847547293592183,10
s3,0.6990497749168737,10
s4,-0.0459901349627511,10
s1,0.7846683607859543,11
s2,0.050923446173202234,11
s3,0.7804767889984092,11
s4,-0.06996360867386323,11
s1,0.8350886073371961,12
s2,0.05260309685906395,12
s3,0.8096160218120373,12
s4,-0.06525656408407514,12
s1,0.8044300339612758,13
s2,0.0701872601304602,13
s3,0.7829431726909354,13
s4,-0.007669166417524939,13
s1,0.8334989231718876,14
s2,0.27273599743977883,14
s3,0.8100916949872315,14
s4,0.05937129498065632,14
s1,0.8449567753780964,15
s2,0.2965294897035964,15
s3,0.8247607741090504,15
s4,0.19253607520574062,15
s1,0.7662746468508563,16
s2,-0.02733681346803628,16
s3,0.7160802664162589,16
s4,-0.07660804784561608,16
s1,0.7919836990529623,17
s2,0.16834599911589365,17
s3,0.7721011947555348,17
s4,0.011858331724527115,17
s1,0.8100518308687417,18
s2,0.11117370807412563,18
s3,0.7976139838742792,18
s4,0.004891267340041467,18
s1,0.802477611692814,19
s2,-0.002057696044856458,19
s3,0.7283032635475475,19
s4,-0.09911441940760769,19
s1,0.7686041798739347,20
s2,0.06925880254731641,20
s3,0.7686041798739347,20
s4,0.00042976742509678796,20
s1,0.8055649923274826,21
s2,0.2370004374244259,21
s3,0.764449742397216,21
s4,0.11670471556638677,21
s1,0.8302332246814823,22
s2,0.2251382227580784,22
s3,0.7870028034939386,22
s4,-0.02471504042099369,22
s1,0.8487873667775248,23
s2,0.4839595807332332,23
s3,0.8146301943812277,23
s4,0.3224274012166871,23
s1,0.8414650412726449,24
s2,0.31334556948929204,24
s3,0.7724692287127087,24
s4,0.25243308744966264,24
s1,0.7821147155240474,25
s2,0.27030464754327216,25
s3,0.7719767427159641,25
s4,0.1985792949324589,25
s1,0.8269061248122022,26
s2,0.21879129614015547,26
s3,0.7979492074474737,26
s4,-0.029478314050265415,26
s1,0.8337130061918625,27
s2,0.1846014222013032,27
s3,0.8122482707523175,27
s4,0.06747335823119274,27
s1,0.7623632736937911,28
s2,-0.041999521308050417,28
s3,0.7298696371685716,28
s4,-0.30047782952940383,28
s1,0.8016923948875447,29
s2,0.1488945910925487,29
s3,0.7952733903109966,29
s4,0.01576155635911517,29
s1,0.7960731785403139,30
s2,0.12325310303536134,30
s3,0.7665904404180756,30
s4,-0.08047336974465798,30
s1,0.7974866544297169,31
s2,0.15070221455584623,31
s3,0.7760745965703797,31
s4,0.0824376276693857,31
s1,0.8239150552178607,32
s2,0.24159404052481967,32
s3,0.7904851457721662,32
s4,0.1285306621695848,32
s1,0.8041319570962795,33
s2,0.1795388931405381,33
s3,0.7994919070425023,33
s4,-0.020783569575514953,33
s1,0.7023469397426128,34
s2,0.2321308712415345,34
s3,0.6650258845371184,34
s4,0.07346798164688359,34
s1,0.7982112998404973,35
s2,0.027596332289139474,35
s3,0.7886243692870254,35
s4,-0.18106603411448002,35
s1,0.8355431168967179,36
s2,0.06307012753504322,36
s3,0.7759597012103183,36
s4,0.038468878058981984,36
s1,0.834352316839887,37
s2,0.10349193119742343,37
s3,0.7880886636714239,37
s4,-0.03904813015994898,37
s1,0.7607536331491191,38
s2,0.08079450058186606,38
s3,0.7269606418057087,38
s4,-0.06117812798202493,38
s1,0.7889710046347576,39
s2,0.2012770498661136,39
s3,0.7453797701081684,39
s4,0.12816380027711582,39
s1,0.737724101292549,40
s2,-0.04843453598390248,40
s3,0.7351200781524295,40
s4,-0.10095675373076785,40
s1,0.8559230659146607,41
s2,0.1551735113263732,41
s3,0.8118381203897034,41
s4,0.10338500368327075,41
s1,0.8324888178166496,42
s2,0.1850368023811429,42
s3,0.7989538645865795,42
s4,-0.056594580313841,42
s1,0.7782359516019179,43
s2,0.0823839682495787,43
s3,0.7714375319560116,43
s4,-0.036209483459055114,43
s1,0.7838045344614487,44
s2,0.17900837125038044,44
s3,0.7805956891627815,44
s4,-0.1474027955650076,44
s1,0.7871933387009561,45
s2,0.15156873249637706,45
s3,0.743245298488447,45
s4,0.03175810356950963,45
s1,0.8216159977640978,46
s2,0.08462351923499414,46
s3,0.8002222613229912,46
s4,-0.0644047350997984,46
s1,0.8051778612744371,47
s2,0.1562440108701103,47
s3,0.7637701811315603,47
s4,-0.031714609997747445,47
s1,0.791580883014564,48
s2,0.3579196300363018,48
s3,0.7442753507964404,48
s4,0.3013554027395268,48
s1,0.7878589334779182,49
s2,0.10760734022251786,49
s3,0.7855276624671386,49
s4,-0.178808779092047,49
s1,0.8110232340253438,50
s2,-0.07564968881757309,50
s3,0.7224539577056126,50
s4,-0.20543058428087227,50
s1,0.7722818638177034,51
s2,0.22238220304751827,51
s3,0.7589247059222889,51
s4,0.1439586382293458,51
s1,0.7863330784399569,52
s2,0.2691832084649112,52
s3,0.7527467988703849,52
s4,0.19962489090143487,52
s1,0.8345427410539494,53
s2,0.31224807983290176,53
s3,0.786032596675246,53
s4,0.18901004520169276,53
s1,0.79790145520178,54
s2,0.009816589397424136,54
s3,0.7398696261127168,54
s4,-0.09185537033647817,54
s1,0.8460391754101124,55
