N,Method,Metric,Bias,Variance,Time
50,In-Sample,R2,0.4373781366798119,0,0.0007371902465820312
50,In-Sample,RMSE,-0.24223172517225333,0,0.0007371902465820312
50,In-Sample,Correlation,0.4364506202560695,0,0.0008349418640136719
50,In-Sample,R2,0.3971023203537645,0,0.0008349418640136719
50,In-Sample,RMSE,-0.24908760618736492,0,0.0008349418640136719
50,In-Sample,Correlation,0.5143072293484291,0,0.0006847381591796875
50,In-Sample,R2,0.6271284964291644,0,0.0006847381591796875
50,In-Sample,RMSE,-0.2557072047295922,0,0.0006847381591796875
50,In-Sample,Correlation,0.24808506473557676,0,0.0006809234619140625
50,In-Sample,R2,0.1629964794299884,0,0.0006809234619140625
50,In-Sample,RMSE,-0.14181118560232664,0,0.0006809234619140625
50,In-Sample,Correlation,0.4578984674443208,0,0.0009198188781738281
50,In-Sample,R2,0.5056145440084755,0,0.0009198188781738281
50,In-Sample,RMSE,-0.2642268080233081,0,0.0009198188781738281
50,In-Sample,Correlation,0.5246882313723537,0,0.0009448528289794922
50,In-Sample,R2,0.590911871709295,0,0.0009448528289794922
50,In-Sample,RMSE,-0.2632534949981522,0,0.0009448528289794922
50,In-Sample,Correlation,0.42194864018172834,0,0.0006871223449707031
50,In-Sample,R2,0.3436207604904945,0,0.0006871223449707031
50,In-Sample,RMSE,-0.21463645354899397,0,0.0006871223449707031
50,In-Sample,Correlation,0.44025561085308823,0,0.000982046127319336
50,In-Sample,R2,0.46576413577384884,0,0.000982046127319336
50,In-Sample,RMSE,-0.22589878759742477,0,0.000982046127319336
50,In-Sample,Correlation,0.6767689800917172,0,0.0006783008575439453
50,In-Sample,R2,1.118437808161838,0,0.0006783008575439453
50,In-Sample,RMSE,-0.5953561053319112,0,0.0006783008575439453
50,In-Sample,Correlation,0.5767087775185681,0,0.0007410049438476562
50,In-Sample,R2,0.9023845803174277,0,0.0007410049438476562
50,In-Sample,RMSE,-0.3947162322859674,0,0.0007410049438476562
50,In-Sample,Correlation,0.4337802344431291,0,0.0009148120880126953
50,In-Sample,R2,0.5550438221404905,0,0.0009148120880126953
50,In-Sample,RMSE,-0.36484126345122825,0,0.0009148120880126953
50,In-Sample,Correlation,0.5311139433104841,0,0.0006928443908691406
50,In-Sample,R2,0.61646528336907,0,0.0006928443908691406
50,In-Sample,RMSE,-0.2687459123483509,0,0.0006928443908691406
50,In-Sample,Correlation,0.31343176470081924,0,0.0006818771362304688
50,In-Sample,R2,0.36329102005204833,0,0.0006818771362304688
50,In-Sample,RMSE,-0.16275373483737587,0,0.0006818771362304688
50,In-Sample,Correlation,0.41983321847052973,0,0.0010149478912353516
50,In-Sample,R2,0.35537520225664265,0,0.0010149478912353516
50,In-Sample,RMSE,-0.239266348816087,0,0.0010149478912353516
50,In-Sample,Correlation,0.41067611149853617,0,0.0006799697875976562
50,In-Sample,R2,0.4022461898591755,0,0.0006799697875976562
50,In-Sample,RMSE,-0.13025656955548093,0,0.0006799697875976562
50,In-Sample,Correlation,0.46671745915119445,0,0.0006659030914306641
50,In-Sample,R2,0.48832687985259754,0,0.0006659030914306641
50,In-Sample,RMSE,-0.3357302294880793,0,0.0006659030914306641
50,In-Sample,Correlation,0.5025514571471726,0,0.0007560253143310547
50,In-Sample,R2,0.6088000762511288,0,0.0007560253143310547
50,In-Sample,RMSE,-0.40423308151416715,0,0.0007560253143310547
50,In-Sample,Correlation,0.35588939048647067,0,0.0006887912750244141
50,In-Sample,R2,0.38968795846492776,0,0.0006887912750244141
50,In-Sample,RMSE,-0.017755149433461348,0,0.0006887912750244141
50,In-Sample,Correlation,0.3948914540829789,0,0.000682830810546875
50,In-Sample,R2,0.2566528593016073,0,0.000682830810546875
50,In-Sample,RMSE,-0.4075120096333862,0,0.000682830810546875
