metric,mean,method,i,dataset
CCC,0.5101123016858394,KF,0,simulated
MAE,1.2572814247799302,KF,0,simulated
R2,0.32795521799768457,KF,0,simulated
RMSE,1.5986931517249843,KF,0,simulated
RMSPE,141.93920077518962,KF,0,simulated
RSR,0.8196476901909863,KF,0,simulated
r,0.5778927295029522,KF,0,simulated
r2,0.33431925784560895,KF,0,simulated
CCC,0.20968476353840806,block,0,simulated
MAE,1.5317099090250856,block,0,simulated
R2,-0.09168174619717577,block,0,simulated
RMSE,1.889955428353888,block,0,simulated
RMSPE,61.212583421197344,block,0,simulated
RSR,1.0357149562873311,block,0,simulated
r,0.3537647046233958,block,0,simulated
r2,0.12794165819730466,block,0,simulated
CCC,0.29991128508733794,KF,0,real
MAE,4.6923492164557,KF,0,real
R2,0.10229914729560692,KF,0,real
RMSE,5.961708395891595,KF,0,real
RMSPE,0.12145240267340017,KF,0,real
RSR,0.9474611373148102,KF,0,real
r,0.3649958777523106,KF,0,real
r2,0.13352590837165537,KF,0,real
CCC,0.12125777835956598,block,0,real
MAE,5.226694773093225,block,0,real
R2,-0.16293792192642523,block,0,real
RMSE,6.610311151755535,block,0,real
RMSPE,0.13580103570107258,block,0,real
RSR,1.0769763945125919,block,0,real
r,0.15939640968382712,block,0,real
r2,0.02622471702402369,block,0,real
CCC,0.546028898299813,KF,1,simulated
MAE,1.2352013220232931,KF,1,simulated
R2,0.37124766106106427,KF,1,simulated
RMSE,1.5444849955299491,KF,1,simulated
RMSPE,13.724907387748166,KF,1,simulated
RSR,0.7927920795570476,KF,1,simulated
r,0.6207232815515666,KF,1,simulated
r2,0.3856841919838103,KF,1,simulated
CCC,0.33201241432792733,block,1,simulated
MAE,1.4781611558469312,block,1,simulated
R2,-0.062301984700374034,block,1,simulated
RMSE,1.8073578578970804,block,1,simulated
RMSPE,10.093203537445035,block,1,simulated
RSR,1.015665624091989,block,1,simulated
r,0.44148503112024634,block,1,simulated
r2,0.19633874069125365,block,1,simulated
CCC,0.28884868529211033,KF,1,real
MAE,4.694403842465254,KF,1,real
R2,0.09067290068575136,KF,1,real
RMSE,5.984562337904269,KF,1,real
RMSPE,0.12146798776134844,KF,1,real
RSR,0.9531095928243024,KF,1,real
r,0.3615196012114233,KF,1,real
r2,0.13178756124955107,KF,1,real
CCC,0.12898334065310474,block,1,real
MAE,5.225426295166518,block,1,real
R2,-0.15803704140584393,block,1,real
RMSE,6.590521238927097,block,1,real
RMSPE,0.1342670266004002,block,1,real
RSR,1.074502384369545,block,1,real
r,0.16856292471207265,block,1,real
r2,0.029875684661054707,block,1,real
CCC,0.4217602121139772,KF,2,simulated
MAE,1.233162838099893,KF,2,simulated
R2,0.24592581469099942,KF,2,simulated
RMSE,1.5194396793156146,KF,2,simulated
RMSPE,14.807376625671344,KF,2,simulated
RSR,0.8683196349976972,KF,2,simulated
r,0.5191067531580119,KF,2,simulated
r2,0.26980616199733753,KF,2,simulated
CCC,0.34321903625847877,block,2,simulated
MAE,1.306450134294568,block,2,simulated
R2,0.1399097714330784,block,2,simulated
RMSE,1.6107386699075539,block,2,simulated
RMSPE,12.04404476574217,block,2,simulated
RSR,0.9244028295622346,block,2,simulated
r,0.4292412510885022,block,2,simulated
r2,0.19774324995369266,block,2,simulated
CCC,0.22653887662853642,KF,2,real
MAE,4.892480080695531,KF,2,real
R2,0.019217309766845696,KF,2,real
RMSE,6.228724270728056,KF,2,real
RMSPE,0.1263259680289828,KF,2,real
RSR,0.990275918788341,KF,2,real
r,0.2790834579307774,KF,2,real
r2,0.07817804984138776,KF,2,real
CCC,0.1164264462078574,block,2,real
MAE,5.239375817110272,block,2,real
R2,-0.1651330380839479,block,2,real
RMSE,6.618648695372701,block,2,real
RMSPE,0.1350169476287568,block,2,real
RSR,1.0782575513012655,block,2,real
r,0.15200167427528785,block,2,real
r2,0.02664798917664893,block,2,real
CCC,0.43839003992190473,KF,3,simulated
MAE,1.3189494714059666,KF,3,simulated
R2,0.25444110816205195,KF,3,simulated
RMSE,1.6508767699620073,KF,3,simulated
RMSPE,19.24100072338158,KF,3,simulated
RSR,0.8634040838482813,KF,3,simulated
r,0.5179199476123298,KF,3,simulated
r2,0.2683604460678139,KF,3,simulated
CCC,0.24484577924084105,block,3,simulated
MAE,1.4379336675699488,block,3,simulated
R2,0.03927802252364243,block,3,simulated
RMSE,1.7883784919534567,block,3,simulated
RMSPE,11.41938303558463,block,3,simulated
RSR,0.9797146656483421,block,3,simulated
r,0.36445945891290776,block,3,simulated
r2,0.13492455532264924,block,3,simulated
CCC,0.26782565799854297,KF,3,real
MAE,4.78581542502292,KF,3,real
R2,0.05642646357464017,KF,3,real
RMSE,6.09484410043401,KF,3,real
RMSPE,0.12331474517181422,KF,3,real
RSR,0.971355266147333,KF,3,real
r,0.3331809606922652,KF,3,real
r2,0.11122371551880006,KF,3,real
CCC,0.11526620960612671,block,3,real
MAE,5.274670824971554,block,3,real
R2,-0.18402993391194614,block,3,real
RMSE,6.657464997547595,block,3,real
RMSPE,0.13557982772084565,block,3,real
RSR,1.0862553424087884,block,3,real
r,0.14870422883710618,block,3,real
r2,0.024833270720563294,block,3,real
CCC,0.4403293322027326,KF,4,simulated
MAE,1.3100909523413453,KF,4,simulated
R2,0.23501007975510455,KF,4,simulated
RMSE,1.6222874789137969,KF,4,simulated
RMSPE,23.87756790548234,KF,4,simulated
RSR,0.8736134524931113,KF,4,simulated
r,0.5130720030550362,KF,4,simulated
r2,0.2664015528094427,KF,4,simulated
CCC,0.14033573823417564,block,4,simulated
MAE,1.5546218815524844,block,4,simulated
R2,-0.2992179900572618,block,4,simulated
RMSE,1.9005639254006412,block,4,simulated
RMSPE,15.331945089336593,block,4,simulated
RSR,1.1231299934789476,block,4,simulated
r,0.20068633530805471,block,4,simulated
r2,0.05796624625083397,block,4,simulated
CCC,0.28546341766697303,KF,4,real
MAE,4.647211097904292,KF,4,real
R2,0.11361974896870237,KF,4,real
RMSE,5.930944876884941,KF,4,real
RMSPE,0.12007311055877852,KF,4,real
RSR,0.9407829665872308,KF,4,real
r,0.3655377773668615,KF,4,real
r2,0.13770374426913465,KF,4,real
CCC,0.12797702531316496,block,4,real
MAE,5.235847913109016,block,4,real
R2,-0.1602025401646269,block,4,real
RMSE,6.5999517242083945,block,4,real
RMSPE,0.13452690278351948,block,4,real
RSR,1.0757293881420393,block,4,real
r,0.1657555525663892,block,4,real
r2,0.0289233986388094,block,4,real
CCC,0.45833435887034363,KF,5,simulated
MAE,1.2874958679433803,KF,5,simulated
R2,0.27396550473622666,KF,5,simulated
RMSE,1.6274252548568153,KF,5,simulated
RMSPE,24.29498882747829,KF,5,simulated
RSR,0.8519932366998101,KF,5,simulated
r,0.5299694744147848,KF,5,simulated
r2,0.28114868342500793,KF,5,simulated
CCC,0.2725997615623342,block,5,simulated
MAE,1.4493236867527959,block,5,simulated
R2,-0.008977369477613073,block,5,simulated
RMSE,1.7978228820520774,block,5,simulated
RMSPE,20.06068612432387,block,5,simulated
RSR,0.9998359430954712,block,5,simulated
r,0.3939084405024418,block,5,simulated
r2,0.15904968082099177,block,5,simulated
CCC,0.2343238082849101,KF,5,real
MAE,4.8397351505639845,KF,5,real
R2,0.031174122056394065,KF,5,real
RMSE,6.192556909126124,KF,5,real
RMSPE,0.1237794535508238,KF,5,real
RSR,0.9842568837310258,KF,5,real
r,0.2918588807845393,KF,5,real
r2,0.08564573979529592,KF,5,real
CCC,0.10513448337374054,block,5,real
MAE,5.271854917395675,block,5,real
R2,-0.18600036190129968,block,5,real
RMSE,6.674582364433918,block,5,real
RMSPE,0.13636462140857056,block,5,real
RSR,1.0876940198831788,block,5,real
r,0.135746382164609,block,5,real
r2,0.020488860715105126,block,5,real
CCC,0.44180889744656615,KF,6,simulated
MAE,1.1504302397192718,KF,6,simulated
R2,0.27926259004073334,KF,6,simulated
RMSE,1.4158519926426039,KF,6,simulated
RMSPE,290.95556288902316,KF,6,simulated
RSR,0.8489466946077174,KF,6,simulated
r,0.5394617803091886,KF,6,simulated
r2,0.2910386608692353,KF,6,simulated
CCC,0.3823158107998137,block,6,simulated
MAE,1.188488634780323,block,6,simulated
R2,0.2092252363225782,block,6,simulated
RMSE,1.4620175723064175,block,6,simulated
RMSPE,160.43594010994786,block,6,simulated
RSR,0.8883432359826138,block,6,simulated
r,0.4738150597692942,block,6,simulated
r2,0.22970183961661986,block,6,simulated
CCC,0.2587905953126223,KF,6,real
MAE,4.74157553875495,KF,6,real
R2,0.06322511463868503,KF,6,real
RMSE,6.0917468807213595,KF,6,real
RMSPE,0.12294882240608436,KF,6,real
RSR,0.967852983754398,KF,6,real
r,0.32055437582560603,KF,6,real
r2,0.10280388124372364,KF,6,real
CCC,0.11536099059662093,block,6,real
MAE,5.25171080775188,block,6,real
R2,-0.1727143126535314,block,6,real
RMSE,6.6367914375638035,block,6,real
RMSPE,0.13556713488325525,block,6,real
RSR,1.0816417885207068,block,6,real
r,0.14606305445669995,block,6,real
r2,0.026659083984608246,block,6,real
CCC,0.4720255592708513,KF,7,simulated
MAE,1.3340154670304198,KF,7,simulated
R2,0.2994156743347439,KF,7,simulated
RMSE,1.671550812746843,KF,7,simulated
RMSPE,15.893666086340659,KF,7,simulated
RSR,0.8368827094129326,KF,7,simulated
r,0.5585671983963656,KF,7,simulated
r2,0.31253231243910545,KF,7,simulated
CCC,0.2330831082950189,block,7,simulated
MAE,1.5792173699571868,block,7,simulated
R2,-0.1456389634127556,block,7,simulated
RMSE,1.9492730394878948,block,7,simulated
RMSPE,25.48029275675583,block,7,simulated
RSR,1.0651597350488164,block,7,simulated
r,0.3613244341989894,block,7,simulated
r2,0.1336013130725783,block,7,simulated
CCC,0.24844698794533704,KF,7,real
MAE,4.934721833863052,KF,7,real
R2,0.016662149862893827,KF,7,real
RMSE,6.240426367905569,KF,7,real
RMSPE,0.12448729911903979,KF,7,real
RSR,0.9912838207788388,KF,7,real
r,0.2954372075243445,KF,7,real
r2,0.090425711427304,KF,7,real
CCC,0.11870546049256565,block,7,real
MAE,5.2644673425610575,block,7,real
R2,-0.18390230295560514,block,7,real
RMSE,6.662441994241012,block,7,real
RMSPE,0.13577463919345653,block,7,real
RSR,1.0864750063516178,block,7,real
r,0.1535321299575813,block,7,real
r2,0.02618925035369282,block,7,real
CCC,0.38549287365792656,KF,8,simulated
MAE,1.2921781052275787,KF,8,simulated
R2,0.20802853258779952,KF,8,simulated
RMSE,1.584960740301917,KF,8,simulated
RMSPE,8.258195502216937,KF,8,simulated
RSR,0.8891444851216729,KF,8,simulated
r,0.4724404873553522,KF,8,simulated
r2,0.2274458329591351,KF,8,simulated
CCC,0.25209466697834165,block,8,simulated
MAE,1.362038150510604,block,8,simulated
R2,-0.024339600519738453,block,8,simulated
RMSE,1.676032575269188,block,8,simulated
RMSPE,18.65522846422151,block,8,simulated
RSR,1.008789352087112,block,8,simulated
r,0.3230666506875219,block,8,simulated
r2,0.11225749138428415,block,8,simulated
CCC,0.19447379493398664,KF,8,real
MAE,4.972837183096586,KF,8,real
R2,-0.030266259739969808,KF,8,real
RMSE,6.353879191732019,KF,8,real
RMSPE,0.1280349543744955,KF,8,real
RSR,1.0132532968498529,KF,8,real
r,0.2478627358293294,KF,8,real
r2,0.06812091542704034,KF,8,real
CCC,0.1278078823435745,block,8,real
MAE,5.22897228171124,block,8,real
R2,-0.1597421263685769,block,8,real
RMSE,6.5962736943297875,block,8,real
RMSPE,0.13458464242540294,block,8,real
RSR,1.075276200972645,block,8,real
r,0.17027680813959553,block,8,real
r2,0.02930181267299173,block,8,real
CCC,0.5540022401647321,KF,9,simulated
MAE,1.1164203542143496,KF,9,simulated
R2,0.3804941495442229,KF,9,simulated
RMSE,1.3900114422472736,KF,9,simulated
RMSPE,52.52006366931702,KF,9,simulated
RSR,0.7862156246116668,KF,9,simulated
r,0.62523885119765,KF,9,simulated
r2,0.39339064688488357,KF,9,simulated
CCC,0.28741090940322334,block,9,simulated
MAE,1.294984319152918,block,9,simulated
R2,0.008073421621351199,block,9,simulated
RMSE,1.630808452317767,block,9,simulated
RMSPE,32.58597789798544,block,9,simulated
RSR,0.9906611574695869,block,9,simulated
r,0.37756849469717846,block,9,simulated
r2,0.15231397611792746,block,9,simulated
CCC,0.22183398512439992,KF,9,real
MAE,4.93033357420353,KF,9,real
R2,0.007812882658965662,KF,9,real
RMSE,6.26652472391396,KF,9,real
RMSPE,0.1278611717813505,KF,9,real
