metric,mean,method,i,dataset
RSR,0.9959279572816208,KF,9,real
r,0.2730844816696283,KF,9,real
r2,0.07523206680815521,KF,9,real
CCC,0.11702098702276635,block,9,real
MAE,5.2641105812705895,block,9,real
R2,-0.17490113290042877,block,9,real
RMSE,6.64490259869761,block,9,real
RMSPE,0.13585040606719304,block,9,real
RSR,1.0826155945786013,block,9,real
r,0.15315220376046904,block,9,real
r2,0.025371636590818647,block,9,real
CCC,0.453970100742376,KF,10,simulated
MAE,1.2625593846070748,KF,10,simulated
R2,0.26931480063440416,KF,10,simulated
RMSE,1.5782949967381417,KF,10,simulated
RMSPE,7.091388073796266,KF,10,simulated
RSR,0.8542736064291211,KF,10,simulated
r,0.5340154339715936,KF,10,simulated
r2,0.28692714346572246,KF,10,simulated
CCC,0.17829946314440656,block,10,simulated
MAE,1.5003780951932943,block,10,simulated
R2,-0.17938662403913622,block,10,simulated
RMSE,1.8673624713183639,block,10,simulated
RMSPE,17.105949395961265,block,10,simulated
RSR,1.0816945511002969,block,10,simulated
r,0.2649182248774147,block,10,simulated
r2,0.07946963573170371,block,10,simulated
CCC,0.2722594196960136,KF,10,real
MAE,4.731565550719118,KF,10,real
R2,0.08762003557021085,KF,10,real
RMSE,6.011115874217398,KF,10,real
RMSPE,0.1208860602578838,KF,10,real
RSR,0.9551828727440949,KF,10,real
r,0.34361154173918185,KF,10,real
r2,0.11812748082996101,KF,10,real
CCC,0.11605994957740817,block,10,real
MAE,5.266857728891881,block,10,real
R2,-0.18040151675216967,block,10,real
RMSE,6.654885467197103,block,10,real
RMSPE,0.13609631705727146,block,10,real
RSR,1.0849417875113565,block,10,real
r,0.14938739100369888,block,10,real
r2,0.024436696168445817,block,10,real
CCC,0.46371747893932697,KF,11,simulated
MAE,1.3205834042438034,KF,11,simulated
R2,0.29220659201361693,KF,11,simulated
RMSE,1.693460400532668,KF,11,simulated
RMSPE,92.2010227448148,KF,11,simulated
RSR,0.8404299897696165,KF,11,simulated
r,0.5456827265904126,KF,11,simulated
r2,0.30115124093984386,KF,11,simulated
CCC,0.3546031205682976,block,11,simulated
MAE,1.5016200912914421,block,11,simulated
R2,0.011192181877089627,block,11,simulated
RMSE,1.8723803519470674,block,11,simulated
RMSPE,60.63162606291328,block,11,simulated
RSR,0.9785185185574053,block,11,simulated
r,0.457632243066358,block,11,simulated
r2,0.22007124145167656,block,11,simulated
CCC,0.2209652488283523,KF,11,real
MAE,4.846601400379196,KF,11,real
R2,0.005900671105977658,KF,11,real
RMSE,6.220018747379716,KF,11,real
RMSPE,0.12608978916089564,KF,11,real
RSR,0.9967944399516075,KF,11,real
r,0.2764087713203226,KF,11,real
r2,0.07721121159324436,KF,11,real
CCC,0.11810235979575386,block,11,real
MAE,5.2437864794179925,block,11,real
R2,-0.16983794699063615,block,11,real
RMSE,6.626152328071707,block,11,real
RMSPE,0.13567736203475833,block,11,real
RSR,1.0801576587416342,block,11,real
r,0.1509137383307517,block,11,real
r2,0.026574567226573805,block,11,real
CCC,0.42459784187999944,KF,12,simulated
MAE,1.3439228137407067,KF,12,simulated
R2,0.2427962834712636,KF,12,simulated
RMSE,1.7009233185155679,KF,12,simulated
RMSPE,11.524601433802196,KF,12,simulated
RSR,0.8691958965765992,KF,12,simulated
r,0.5047303227603238,KF,12,simulated
r2,0.2581954826116733,KF,12,simulated
CCC,0.24035073235071738,block,12,simulated
MAE,1.4136150901106905,block,12,simulated
R2,0.043462690617114164,block,12,simulated
RMSE,1.7934390018833728,block,12,simulated
RMSPE,13.74918355648362,block,12,simulated
RSR,0.9775469462983235,block,12,simulated
r,0.3612121301911487,block,12,simulated
r2,0.13294527364532707,block,12,simulated
CCC,0.24648189677685806,KF,12,real
MAE,4.831632498085995,KF,12,real
R2,0.041815000124299694,KF,12,real
RMSE,6.1509412842535935,KF,12,real
RMSPE,0.12435981888212556,KF,12,real
RSR,0.978533510247237,KF,12,real
r,0.30659674102907664,KF,12,real
r2,0.09533298578417698,KF,12,real
CCC,0.1259540051108092,block,12,real
MAE,5.227327312319588,block,12,real
R2,-0.15743272751629575,block,12,real
RMSE,6.592503695872267,block,12,real
RMSPE,0.13403150016729518,block,12,real
RSR,1.0745000515171819,block,12,real
r,0.16335044525847045,block,12,real
r2,0.029496807782617002,block,12,real
CCC,0.4804058840745895,KF,13,simulated
MAE,1.1495733065889921,KF,13,simulated
R2,0.2923006497750422,KF,13,simulated
RMSE,1.4559808837903478,KF,13,simulated
RMSPE,23.270968122290327,KF,13,simulated
RSR,0.8411989117587465,KF,13,simulated
r,0.5592475676935398,KF,13,simulated
r2,0.31292233592824203,KF,13,simulated
CCC,0.3439226548273869,block,13,simulated
MAE,1.2443166244983883,block,13,simulated
R2,0.13178131017972108,block,13,simulated
RMSE,1.5749547770388643,block,13,simulated
RMSPE,18.474093894671864,block,13,simulated
RSR,0.9279140502655284,block,13,simulated
r,0.43113637487708645,block,13,simulated
r2,0.20210164519588603,block,13,simulated
CCC,0.3017787230298627,KF,13,real
MAE,4.703308443463858,KF,13,real
R2,0.11533389157841574,KF,13,real
RMSE,5.922869229330999,KF,13,real
RMSPE,0.1181888223233627,KF,13,real
RSR,0.940223846903618,KF,13,real
r,0.3787750553125444,KF,13,real
r2,0.14568317303462022,KF,13,real
CCC,0.11360210162879482,block,13,real
MAE,5.289066090027808,block,13,real
R2,-0.17930375422059922,block,13,real
RMSE,6.6610821965448475,block,13,real
RMSPE,0.13606661712509868,block,13,real
RSR,1.0847800588672738,block,13,real
r,0.14823706129788025,block,13,real
r2,0.023878975836070196,block,13,real
CCC,0.4462582338729455,KF,14,simulated
MAE,1.1919474006250794,KF,14,simulated
R2,0.2752489824899063,KF,14,simulated
RMSE,1.5060392765600088,KF,14,simulated
RMSPE,316.50707891026167,KF,14,simulated
RSR,0.8512866547595088,KF,14,simulated
r,0.5383524115795599,KF,14,simulated
r2,0.29015207179104313,KF,14,simulated
CCC,0.35628184610406133,block,14,simulated
MAE,1.2569151380678525,block,14,simulated
R2,0.19867459247544608,block,14,simulated
RMSE,1.5813257526305098,block,14,simulated
RMSPE,344.9598774158862,block,14,simulated
RSR,0.8940767321836232,block,14,simulated
r,0.46263910242640877,block,14,simulated
r2,0.21881532863490707,block,14,simulated
CCC,0.2676730752194663,KF,14,real
MAE,4.77421926913524,KF,14,real
R2,0.07751413459405905,KF,14,real
RMSE,6.041087286091948,KF,14,real
RMSPE,0.12324281675072418,KF,14,real
RSR,0.9604504880773547,KF,14,real
r,0.3326862503446335,KF,14,real
r2,0.11106722938261321,KF,14,real
CCC,0.12390224731115916,block,14,real
MAE,5.235780631969389,block,14,real
R2,-0.16711564880389665,block,14,real
RMSE,6.621958509943977,block,14,real
RMSPE,0.13524054764831667,block,14,real
RSR,1.0790411183355795,block,14,real
r,0.15949283686308702,block,14,real
r2,0.028213752531823493,block,14,real
CCC,0.4741403052683715,KF,15,simulated
MAE,1.3061875270463572,KF,15,simulated
R2,0.29426517318706324,KF,15,simulated
RMSE,1.6358625798973438,KF,15,simulated
RMSPE,6.93744575434593,KF,15,simulated
RSR,0.8400479186469902,KF,15,simulated
r,0.548988855872038,KF,15,simulated
r2,0.3014842411607174,KF,15,simulated
CCC,0.2167545532958222,block,15,simulated
MAE,1.5222451890929827,block,15,simulated
R2,-0.0692534867855998,block,15,simulated
RMSE,1.868006129132393,block,15,simulated
RMSPE,5.438739038564979,block,15,simulated
RSR,1.0301956600102977,block,15,simulated
r,0.3314411466495044,block,15,simulated
r2,0.11238970122328018,block,15,simulated
CCC,0.23199828573441253,KF,15,real
MAE,4.802025429200882,KF,15,real
R2,0.017914014783546112,KF,15,real
RMSE,6.213302011699259,KF,15,real
RMSPE,0.12636084244108428,KF,15,real
RSR,0.9905126988204894,KF,15,real
r,0.29072711003308904,KF,15,real
r2,0.0881135642663911,KF,15,real
CCC,0.12065014153602342,block,15,real
MAE,5.294465340303624,block,15,real
R2,-0.18959648157156198,block,15,real
RMSE,6.669400176720629,block,15,real
RMSPE,0.13580758243305913,block,15,real
RSR,1.0885737564646096,block,15,real
r,0.15295368762744238,block,15,real
r2,0.02594345668227213,block,15,real
CCC,0.46226409006403396,KF,16,simulated
MAE,1.2537044478902988,KF,16,simulated
R2,0.30055869203360613,KF,16,simulated
RMSE,1.5330507474139623,KF,16,simulated
RMSPE,7.135115823949483,KF,16,simulated
RSR,0.8362449877034125,KF,16,simulated
r,0.5579016868256809,KF,16,simulated
r2,0.31178218743388864,KF,16,simulated
CCC,0.3075318287203503,block,16,simulated
MAE,1.369403580555132,block,16,simulated
R2,0.11883942006190033,block,16,simulated
RMSE,1.6959230650751198,block,16,simulated
RMSPE,8.262390385354065,block,16,simulated
RSR,0.9365012010408383,block,16,simulated
r,0.3723538630371919,block,16,simulated
r2,0.1603701473186323,block,16,simulated
CCC,0.2577046735991104,KF,16,real
MAE,4.841849538337284,KF,16,real
R2,0.04413558638907197,KF,16,real
RMSE,6.140702792263679,KF,16,real
RMSPE,0.12259602884689845,KF,16,real
RSR,0.9763526683047613,KF,16,real
r,0.31506044289294227,KF,16,real
r2,0.10755030550145826,KF,16,real
CCC,0.11146558667291702,block,16,real
MAE,5.2625776747444055,block,16,real
R2,-0.1796974425879875,block,16,real
RMSE,6.658462315255396,block,16,real
RMSPE,0.13599417218740104,block,16,real
RSR,1.0849080588898967,block,16,real
r,0.14467604016488037,block,16,real
r2,0.02421043169683945,block,16,real
CCC,0.491093048974675,KF,17,simulated
MAE,1.4043835758524617,KF,17,simulated
R2,0.29406379840810803,KF,17,simulated
RMSE,1.7305563683372738,KF,17,simulated
RMSPE,87.69897807568367,KF,17,simulated
RSR,0.8382856464088514,KF,17,simulated
r,0.5630077022708125,KF,17,simulated
r2,0.32239998906785394,KF,17,simulated
CCC,0.3300153234943506,block,17,simulated
MAE,1.5386870164944693,block,17,simulated
R2,-0.0743943027223241,block,17,simulated
RMSE,1.928561515574157,block,17,simulated
RMSPE,57.61877565117939,block,17,simulated
RSR,1.0173575667417165,block,17,simulated
r,0.45072402167810993,block,17,simulated
r2,0.21039760774829785,block,17,simulated
CCC,0.27915739173142895,KF,17,real
MAE,4.678541629991705,KF,17,real
R2,0.09968073601607734,KF,17,real
RMSE,5.97638099755239,KF,17,real
RMSPE,0.11952361262728378,KF,17,real
RSR,0.948818217281334,KF,17,real
r,0.35383383984052247,KF,17,real
r2,0.12524827204578198,KF,17,real
CCC,0.11871846743401286,block,17,real
MAE,5.277674677010942,block,17,real
R2,-0.17417719953378116,block,17,real
RMSE,6.637566097645134,block,17,real
RMSPE,0.1353260794035358,block,17,real
RSR,1.0821012587762893,block,17,real
r,0.15219911377736892,block,17,real
r2,0.025757955578801988,block,17,real
CCC,0.4398790051729631,KF,18,simulated
MAE,1.153335589740841,KF,18,simulated
R2,0.2791426047073511,KF,18,simulated
RMSE,1.4421224520179372,KF,18,simulated
RMSPE,8.360750221922183,KF,18,simulated
RSR,0.848765503949651,KF,18,simulated
r,0.5471150103976069,KF,18,simulated
r2,0.29991387521735163,KF,18,simulated
CCC,0.3749361876014505,block,18,simulated
MAE,1.2087813549912543,block,18,simulated
R2,0.21692314941915983,block,18,simulated
RMSE,1.5101106862776754,block,18,simulated
RMSPE,10.091844924916272,block,18,simulated
RSR,0.8847302404596346,block,18,simulated
r,0.4711866624436958,block,18,simulated
r2,0.2232193681547268,block,18,simulated
CCC,0.2662643456080885,KF,18,real
MAE,4.752172301361508,KF,18,real
R2,0.06510641817997642,KF,18,real
RMSE,6.091896028531078,KF,18,real
RMSPE,0.12337829222293654,KF,18,real
RSR,0.9667410891833614,KF,18,real
r,0.3280271642726132,KF,18,real
r2,0.10915727973247434,KF,18,real
CCC,0.11859897729827447,block,18,real
MAE,5.25962764865081,block,18,real
R2,-0.170903296915872,block,18,real
RMSE,6.632023830230593,block,18,real
RMSPE,0.1350228370732533,block,18,real
RSR,1.0807229132429432,block,18,real
r,0.15240116929400216,block,18,real
r2,0.02533690568630319,block,18,real
CCC,0.5316119639873015,KF,19,simulated
MAE,1.2193429222757244,KF,19,simulated
R2,0.3500109341906496,KF,19,simulated
RMSE,1.529665331423531,KF,19,simulated
RMSPE,10.766706603200548,KF,19,simulated
RSR,0.8061139133262257,KF,19,simulated
r,0.5964747890418486,KF,19,simulated
r2,0.3560915295640979,KF,19,simulated
CCC,0.2829600035216408,block,19,simulated
MAE,1.4526627544944029,block,19,simulated
R2,-0.13651911372448663,block,19,simulated
RMSE,1.7923146078363121,block,19,simulated
RMSPE,21.851474700399795,block,19,simulated
RSR,1.0448336336102773,block,19,simulated
r,0.36846035040883374,block,19,simulated
r2,0.15369532616434411,block,19,simulated
CCC,0.26073020337923086,KF,19,real
MAE,4.870148498775092,KF,19,real
R2,0.03226970479749606,KF,19,real
RMSE,6.160090096157037,KF,19,real
RMSPE,0.12376006611489986,KF,19,real
RSR,0.983359908581028,KF,19,real
r,0.32307855053668355,KF,19,real
r2,0.10629538719526327,KF,19,real
CCC,0.12729562948773462,block,19,real
MAE,5.260149271467127,block,19,real
R2,-0.17756974716106702,block,19,real
RMSE,6.64354241136198,block,19,real
RMSPE,0.1359234836666293,block,19,real
RSR,1.0834816686428321,block,19,real
r,0.16116492734850935,block,19,real
r2,0.02805405825395499,block,19,real
CCC,0.43689408876144226,KF,20,simulated
MAE,1.2503261784965711,KF,20,simulated
R2,0.26462924523585946,KF,20,simulated
RMSE,1.5536350201609597,KF,20,simulated
RMSPE,6.102974510012327,KF,20,simulated
RSR,0.8570322451148052,KF,20,simulated
r,0.5236536656774469,KF,20,simulated
r2,0.2762132201872611,KF,20,simulated
CCC,0.4026079874846021,block,20,simulated
MAE,1.2685307031190174,block,20,simulated
R2,0.24464000610026707,block,20,simulated
RMSE,1.5746930088638995,block,20,simulated
RMSPE,6.107097376499579,block,20,simulated
RSR,0.8677231258802139,block,20,simulated
r,0.5005084270286075,block,20,simulated
r2,0.25978615792512066,block,20,simulated
CCC,0.2786134025775379,KF,20,real
MAE,4.662425868975317,KF,20,real
R2,0.08871271498331246,KF,20,real
RMSE,6.0101617523978925,KF,20,real
RMSPE,0.12233720363585963,KF,20,real
RSR,0.9542584943265005,KF,20,real
r,0.3481105372964641,KF,20,real
r2,0.12507211018311612,KF,20,real
CCC,0.11818705325853829,block,20,real
MAE,5.21873748734811,block,20,real
R2,-0.16155819732985158,block,20,real
RMSE,6.6046619958484,block,20,real
RMSPE,0.13588605822771319,block,20,real
RSR,1.0763750741505544,block,20,real
r,0.15499604965425792,block,20,real
r2,0.025780853927968375,block,20,real
CCC,0.44547815321648604,KF,21,simulated
MAE,1.3611733565842943,KF,21,simulated
R2,0.276249773949451,KF,21,simulated
RMSE,1.7026328324321052,KF,21,simulated
RMSPE,47.47110618364377,KF,21,simulated
RSR,0.850523199693287,KF,21,simulated
r,0.5364385183270979,KF,21,simulated
r2,0.28864820272411956,KF,21,simulated
CCC,0.20612573783978824,block,21,simulated
MAE,1.638979528594656,block,21,simulated
R2,-0.20188877831543706,block,21,simulated
RMSE,2.025804045779175,block,21,simulated
RMSPE,162.80232519926167,block,21,simulated
RSR,1.0866343269040963,block,21,simulated
r,0.3035142740968161,block,21,simulated
r2,0.0950195095079547,block,21,simulated
CCC,0.2762077964272012,KF,21,real
MAE,4.724656580276528,KF,21,real
R2,0.07887072955786896,KF,21,real
