metric,mean,method,i,dataset
CCC,0.25224198901097283,FS0_HT1,1,spectral
MAE,4.752047379837491,FS0_HT1,1,spectral
R2,0.03496291291244051,FS0_HT1,1,spectral
RMSE,6.101901722358034,FS0_HT1,1,spectral
RMSPE,0.12230032663536816,FS0_HT1,1,spectral
RSR,0.9799689492505681,FS0_HT1,1,spectral
r,0.32359799156883556,FS0_HT1,1,spectral
r2,0.11564136526401769,FS0_HT1,1,spectral
CCC,0.2402444126517942,FS1_HT0,1,spectral
MAE,4.828404422407699,FS1_HT0,1,spectral
R2,-0.03955495485316487,FS1_HT0,1,spectral
RMSE,6.309301013643866,FS1_HT0,1,spectral
RMSPE,0.12710658276666187,FS1_HT0,1,spectral
RSR,1.0140581019643098,FS1_HT0,1,spectral
r,0.302556112130102,FS1_HT0,1,spectral
r2,0.10533603257286908,FS1_HT0,1,spectral
CCC,0.2378031933255576,FS1_HT1,1,spectral
MAE,4.949384181177502,FS1_HT1,1,spectral
R2,-0.029064468251930965,FS1_HT1,1,spectral
RMSE,6.316109933204732,FS1_HT1,1,spectral
RMSPE,0.12591743801198968,FS1_HT1,1,spectral
RSR,1.0126879975013143,FS1_HT1,1,spectral
r,0.2898575364291152,FS1_HT1,1,spectral
r2,0.09042936004760642,FS1_HT1,1,spectral
CCC,0.4476446588023846,FS0_HT0,2,simulated
MAE,0.6728914743345372,FS0_HT0,2,simulated
R2,0.2548809842755506,FS0_HT0,2,simulated
RMSE,0.8221233694292167,FS0_HT0,2,simulated
RMSPE,2.767716118776984,FS0_HT0,2,simulated
RSR,0.8619572391659368,FS0_HT0,2,simulated
r,0.5837895503651285,FS0_HT0,2,simulated
r2,0.3439286108573444,FS0_HT0,2,simulated
CCC,0.4934786505738079,FS0_HT1,2,simulated
MAE,0.6194796380463335,FS0_HT1,2,simulated
R2,0.341987998297373,FS0_HT1,2,simulated
RMSE,0.7701101194039041,FS0_HT1,2,simulated
RMSPE,2.2557886597572585,FS0_HT1,2,simulated
RSR,0.8077761579434222,FS0_HT1,2,simulated
r,0.6615703017855895,FS0_HT1,2,simulated
r2,0.444137677053568,FS0_HT1,2,simulated
CCC,0.06865172544937377,FS1_HT0,2,simulated
MAE,0.8836292209857423,FS1_HT0,2,simulated
R2,-0.26919007607184453,FS1_HT0,2,simulated
RMSE,1.0664528519367076,FS1_HT0,2,simulated
RMSPE,4.016642644362429,FS1_HT0,2,simulated
RSR,1.1197942304713022,FS1_HT0,2,simulated
r,0.08905913975966137,FS1_HT0,2,simulated
r2,0.05001722442296547,FS1_HT0,2,simulated
CCC,0.16512575545567804,FS1_HT1,2,simulated
MAE,0.8215200508902182,FS1_HT1,2,simulated
R2,-0.12988378383641358,FS1_HT1,2,simulated
RMSE,1.0076151857146918,FS1_HT1,2,simulated
RMSPE,2.477029815400093,FS1_HT1,2,simulated
RSR,1.0595919267640863,FS1_HT1,2,simulated
r,0.21325491428861526,FS1_HT1,2,simulated
r2,0.08753541073021567,FS1_HT1,2,simulated
CCC,0.2407941626870238,FS0_HT0,2,spectral
MAE,4.956613182511521,FS0_HT0,2,spectral
R2,-0.04128294910652164,FS0_HT0,2,spectral
RMSE,6.384202099013533,FS0_HT0,2,spectral
RMSPE,0.1273366361090828,FS0_HT0,2,spectral
RSR,1.0156284186467648,FS0_HT0,2,spectral
r,0.28916078471669965,FS0_HT0,2,spectral
r2,0.10161237114265602,FS0_HT0,2,spectral
CCC,0.237223985580872,FS0_HT1,2,spectral
MAE,4.8164650061927174,FS0_HT1,2,spectral
R2,0.020911603195121066,FS0_HT1,2,spectral
RMSE,6.211169481462475,FS0_HT1,2,spectral
RMSPE,0.12446578889375108,FS0_HT1,2,spectral
RSR,0.9884220718489211,FS0_HT1,2,spectral
r,0.29327105424711836,FS0_HT1,2,spectral
r2,0.09913331041344982,FS0_HT1,2,spectral
CCC,0.23921329927809337,FS1_HT0,2,spectral
MAE,4.8505079832696865,FS1_HT0,2,spectral
R2,0.009502043306957586,FS1_HT0,2,spectral
RMSE,6.248195888904805,FS1_HT0,2,spectral
RMSPE,0.125801952354933,FS1_HT0,2,spectral
RSR,0.9945051680280642,FS1_HT0,2,spectral
r,0.29475520082025647,FS1_HT0,2,spectral
r2,0.09236207134712901,FS1_HT0,2,spectral
CCC,0.23075468848145014,FS1_HT1,2,spectral
MAE,4.862062344937019,FS1_HT1,2,spectral
R2,0.002991831344788376,FS1_HT1,2,spectral
RMSE,6.256792992344962,FS1_HT1,2,spectral
RMSPE,0.1258746017983277,FS1_HT1,2,spectral
RSR,0.9967703791401838,FS1_HT1,2,spectral
r,0.28815696032310345,FS1_HT1,2,spectral
r2,0.09401409470880391,FS1_HT1,2,spectral
CCC,0.3151028292062484,FS0_HT0,3,simulated
MAE,0.7381135878140135,FS0_HT0,3,simulated
R2,-0.10524748169196878,FS0_HT0,3,simulated
RMSE,0.9328433899489387,FS0_HT0,3,simulated
RMSPE,2.450827709364234,FS0_HT0,3,simulated
RSR,1.0328523066511857,FS0_HT0,3,simulated
r,0.4469978870023367,FS0_HT0,3,simulated
r2,0.23735966011576237,FS0_HT0,3,simulated
CCC,0.29360894989297265,FS0_HT1,3,simulated
MAE,0.7758786792582315,FS0_HT1,3,simulated
R2,-0.21448201155718816,FS0_HT1,3,simulated
RMSE,0.9553020577802018,FS0_HT1,3,simulated
RMSPE,4.05202200966649,FS0_HT1,3,simulated
RSR,1.0779942091342067,FS0_HT1,3,simulated
r,0.4456431924496339,FS0_HT1,3,simulated
r2,0.26232349633428836,FS0_HT1,3,simulated
CCC,0.05452547787851973,FS1_HT0,3,simulated
MAE,0.9100724423900358,FS1_HT0,3,simulated
R2,-0.5776020331125891,FS1_HT0,3,simulated
RMSE,1.1371271758913526,FS1_HT0,3,simulated
RMSPE,9.075805949535013,FS1_HT0,3,simulated
RSR,1.2511285386538868,FS1_HT0,3,simulated
r,0.08477401293597131,FS1_HT0,3,simulated
r2,0.013571597187214544,FS1_HT0,3,simulated
CCC,0.011938409193199478,FS1_HT1,3,simulated
MAE,0.9429556074808618,FS1_HT1,3,simulated
R2,-0.7994969880211636,FS1_HT1,3,simulated
RMSE,1.1659026406422721,FS1_HT1,3,simulated
RMSPE,8.383394979460961,FS1_HT1,3,simulated
RSR,1.3136086474509492,FS1_HT1,3,simulated
r,0.03367319123691724,FS1_HT1,3,simulated
r2,0.05386019995616289,FS1_HT1,3,simulated
CCC,0.23134749657441162,FS0_HT0,3,spectral
MAE,5.089582492221412,FS0_HT0,3,spectral
R2,-0.11513788948735597,FS0_HT0,3,spectral
RMSE,6.501965370842861,FS0_HT0,3,spectral
RMSPE,0.13014615604901364,FS0_HT0,3,spectral
RSR,1.043336747240811,FS0_HT0,3,spectral
r,0.28564451483865616,FS0_HT0,3,spectral
r2,0.0981906007978061,FS0_HT0,3,spectral
CCC,0.25114710697900977,FS0_HT1,3,spectral
MAE,4.938947207440906,FS0_HT1,3,spectral
R2,-0.015413436148703252,FS0_HT1,3,spectral
RMSE,6.2772005982352015,FS0_HT1,3,spectral
RMSPE,0.12649550965096804,FS0_HT1,3,spectral
RSR,1.0047019196152103,FS0_HT1,3,spectral
r,0.3021164444007729,FS0_HT1,3,spectral
r2,0.10344150256620899,FS0_HT1,3,spectral
CCC,0.2302158603720299,FS1_HT0,3,spectral
MAE,4.914636128548804,FS1_HT0,3,spectral
R2,-0.004140941972497636,FS1_HT0,3,spectral
RMSE,6.251722701262902,FS1_HT0,3,spectral
RMSPE,0.12585973435954617,FS1_HT0,3,spectral
RSR,1.0008165655203747,FS1_HT0,3,spectral
r,0.28132184041868735,FS1_HT0,3,spectral
r2,0.08482032712164245,FS1_HT0,3,spectral
CCC,0.24471748478693076,FS1_HT1,3,spectral
MAE,4.830145400931176,FS1_HT1,3,spectral
R2,0.001466798773859801,FS1_HT1,3,spectral
RMSE,6.225579343587506,FS1_HT1,3,spectral
RMSPE,0.12402942142980895,FS1_HT1,3,spectral
RSR,0.997767117343941,FS1_HT1,3,spectral
r,0.2977994252594055,FS1_HT1,3,spectral
r2,0.09334478831345036,FS1_HT1,3,spectral
CCC,0.23521189746868218,FS0_HT0,4,simulated
MAE,0.7893030989631046,FS0_HT0,4,simulated
R2,-0.29298858154832513,FS0_HT0,4,simulated
RMSE,0.9721311583297705,FS0_HT0,4,simulated
RMSPE,13.06810355880855,FS0_HT0,4,simulated
RSR,1.1124096608225487,FS0_HT0,4,simulated
r,0.33884808529427424,FS0_HT0,4,simulated
r2,0.13627472825923095,FS0_HT0,4,simulated
CCC,0.17683340601530784,FS0_HT1,4,simulated
MAE,0.7383960817468708,FS0_HT1,4,simulated
R2,-0.08125229533935782,FS0_HT1,4,simulated
RMSE,0.9068634688702814,FS0_HT1,4,simulated
RMSPE,7.641664875291019,FS0_HT1,4,simulated
RSR,1.027821557882083,FS0_HT1,4,simulated
r,0.2856277932410066,FS0_HT1,4,simulated
r2,0.16335538731576665,FS0_HT1,4,simulated
CCC,-0.13183839082153287,FS1_HT0,4,simulated
MAE,0.9251497752121625,FS1_HT0,4,simulated
R2,-0.7583988482124229,FS1_HT0,4,simulated
RMSE,1.163985918710838,FS1_HT0,4,simulated
RMSPE,19.889241125979236,FS1_HT0,4,simulated
RSR,1.307882167615643,FS1_HT0,4,simulated
r,-0.11659946896013962,FS1_HT0,4,simulated
r2,0.15993521996461618,FS1_HT0,4,simulated
CCC,-0.09411239217780373,FS1_HT1,4,simulated
MAE,0.8506221679967488,FS1_HT1,4,simulated
R2,-0.40049327000983953,FS1_HT1,4,simulated
RMSE,1.052913949878294,FS1_HT1,4,simulated
RMSPE,6.7663015378754325,FS1_HT1,4,simulated
RSR,1.1790121935966156,FS1_HT1,4,simulated
r,-0.10665902408509462,FS1_HT1,4,simulated
r2,0.06727666748724813,FS1_HT1,4,simulated
CCC,0.2797174801973227,FS0_HT0,4,spectral
MAE,4.782085139941129,FS0_HT0,4,spectral
R2,0.06247801993955293,FS0_HT0,4,spectral
RMSE,6.079305002226168,FS0_HT0,4,spectral
RMSPE,0.12117341858644223,FS0_HT0,4,spectral
RSR,0.9677624832482643,FS0_HT0,4,spectral
r,0.341146655984984,FS0_HT0,4,spectral
r2,0.1185463526671642,FS0_HT0,4,spectral
CCC,0.2788574083182831,FS0_HT1,4,spectral
MAE,4.788485440274544,FS0_HT1,4,spectral
R2,0.04901050477577562,FS0_HT1,4,spectral
RMSE,6.126731871680795,FS0_HT1,4,spectral
RMSPE,0.12178982691219338,FS0_HT1,4,spectral
RSR,0.9751133684059281,FS0_HT1,4,spectral
r,0.3369678681416842,FS0_HT1,4,spectral
r2,0.1138008832441824,FS0_HT1,4,spectral
CCC,0.27546122282334806,FS1_HT0,4,spectral
MAE,4.77024197814256,FS1_HT0,4,spectral
R2,0.0661968782646836,FS1_HT0,4,spectral
RMSE,6.071636818169349,FS1_HT0,4,spectral
RMSPE,0.12242155594385809,FS1_HT0,4,spectral
RSR,0.9660053435474654,FS1_HT0,4,spectral
r,0.34210896872120455,FS1_HT0,4,spectral
r2,0.1192114331307617,FS1_HT0,4,spectral
CCC,0.26092724672063483,FS1_HT1,4,spectral
MAE,5.046314964258879,FS1_HT1,4,spectral
R2,-0.05205988316522962,FS1_HT1,4,spectral
RMSE,6.422342977187981,FS1_HT1,4,spectral
RMSPE,0.1279452759343051,FS1_HT1,4,spectral
RSR,1.0221694604963836,FS1_HT1,4,spectral
r,0.30480712905637025,FS1_HT1,4,spectral
r2,0.09916716085881963,FS1_HT1,4,spectral
CCC,0.38209166399296174,FS0_HT0,5,simulated
MAE,0.7100037617313781,FS0_HT0,5,simulated
R2,0.12421926146624448,FS0_HT0,5,simulated
RMSE,0.8547285052635141,FS0_HT0,5,simulated
RMSPE,1.6689648789794425,FS0_HT0,5,simulated
RSR,0.9307354620781887,FS0_HT0,5,simulated
r,0.5112972373792624,FS0_HT0,5,simulated
r2,0.3030978358278401,FS0_HT0,5,simulated
CCC,0.31839898120730503,FS0_HT1,5,simulated
MAE,0.7859336329867046,FS0_HT1,5,simulated
R2,-0.1488350678067307,FS0_HT1,5,simulated
RMSE,0.9566830547149529,FS0_HT1,5,simulated
RMSPE,1.7410534539050595,FS0_HT1,5,simulated
RSR,1.0364666738396011,FS0_HT1,5,simulated
r,0.39196653375278234,FS0_HT1,5,simulated
r2,0.21336555465445173,FS0_HT1,5,simulated
CCC,-0.0314619122405117,FS1_HT0,5,simulated
MAE,0.9532374992994967,FS1_HT0,5,simulated
R2,-0.6739252126487026,FS1_HT0,5,simulated
RMSE,1.1472645110416277,FS1_HT0,5,simulated
RMSPE,2.522947675846185,FS1_HT0,5,simulated
RSR,1.2493974614952335,FS1_HT0,5,simulated
r,-0.06941033132855368,FS1_HT0,5,simulated
r2,0.10784142368497926,FS1_HT0,5,simulated
CCC,-0.10667686083173233,FS1_HT1,5,simulated
MAE,0.893448297659791,FS1_HT1,5,simulated
R2,-0.42970832154666666,FS1_HT1,5,simulated
RMSE,1.0906806158898334,FS1_HT1,5,simulated
RMSPE,1.7245854339188376,FS1_HT1,5,simulated
RSR,1.1836934755471504,FS1_HT1,5,simulated
r,-0.1499281159875821,FS1_HT1,5,simulated
r2,0.11672150043400079,FS1_HT1,5,simulated
CCC,0.252739753018694,FS0_HT0,5,spectral
MAE,4.785401865549273,FS0_HT0,5,spectral
R2,0.03928833659371143,FS0_HT0,5,spectral
RMSE,6.112015749154064,FS0_HT0,5,spectral
RMSPE,0.12303920331205594,FS0_HT0,5,spectral
RSR,0.9775447584578998,FS0_HT0,5,spectral
r,0.32005857084590444,FS0_HT0,5,spectral
r2,0.11183361933702636,FS0_HT0,5,spectral
CCC,0.3031055919553558,FS0_HT1,5,spectral
MAE,4.705226355674377,FS0_HT1,5,spectral
R2,0.07336608517674345,FS0_HT1,5,spectral
RMSE,6.028153306214884,FS0_HT1,5,spectral
RMSPE,0.12067236724077794,FS0_HT1,5,spectral
RSR,0.9618760503924673,FS0_HT1,5,spectral
r,0.3627464463963581,FS0_HT1,5,spectral
r2,0.13733062292488202,FS0_HT1,5,spectral
CCC,0.26565806084632887,FS1_HT0,5,spectral
MAE,4.674216640763282,FS1_HT0,5,spectral
R2,0.07095234624654538,FS1_HT0,5,spectral
RMSE,6.03793419055292,FS1_HT0,5,spectral
RMSPE,0.12268145515502953,FS1_HT0,5,spectral
RSR,0.96291066475508,FS1_HT0,5,spectral
r,0.33528427097673,FS1_HT0,5,spectral
r2,0.11818384978398686,FS1_HT0,5,spectral
CCC,0.2673405971400511,FS1_HT1,5,spectral
MAE,4.69934163339084,FS1_HT1,5,spectral
R2,0.07590873812254928,FS1_HT1,5,spectral
RMSE,6.027383739866397,FS1_HT1,5,spectral
RMSPE,0.12314735822620126,FS1_HT1,5,spectral
RSR,0.959950520155225,FS1_HT1,5,spectral
r,0.33542986139977615,FS1_HT1,5,spectral
r2,0.12293735365816456,FS1_HT1,5,spectral
CCC,0.466689843084599,FS0_HT0,6,simulated
MAE,0.6724208086471882,FS0_HT0,6,simulated
R2,0.28911933828461855,FS0_HT0,6,simulated
RMSE,0.8357117195354439,FS0_HT0,6,simulated
RMSPE,10.21676169003063,FS0_HT0,6,simulated
RSR,0.8428062838763892,FS0_HT0,6,simulated
r,0.610916522802909,FS0_HT0,6,simulated
r2,0.3752310122901123,FS0_HT0,6,simulated
CCC,0.4246034231211907,FS0_HT1,6,simulated
MAE,0.711025376230878,FS0_HT1,6,simulated
R2,0.22001836933441568,FS0_HT1,6,simulated
RMSE,0.8690782510915875,FS0_HT1,6,simulated
RMSPE,10.842566915364705,FS0_HT1,6,simulated
RSR,0.8787517521914028,FS0_HT1,6,simulated
r,0.540174662561949,FS0_HT1,6,simulated
r2,0.31996261035849277,FS0_HT1,6,simulated
CCC,0.0011070634992857737,FS1_HT0,6,simulated
MAE,0.9373580944427158,FS1_HT0,6,simulated
R2,-0.4449935566294939,FS1_HT0,6,simulated
RMSE,1.1850408404270392,FS1_HT0,6,simulated
RMSPE,51.285776893055505,FS1_HT0,6,simulated
RSR,1.1967341611808955,FS1_HT0,6,simulated
r,0.01062700458139281,FS1_HT0,6,simulated
r2,0.019220709557978423,FS1_HT0,6,simulated
CCC,0.09150985243595205,FS1_HT1,6,simulated
MAE,0.8235396355250563,FS1_HT1,6,simulated
R2,-0.11448744578285767,FS1_HT1,6,simulated
RMSE,1.0422248036841868,FS1_HT1,6,simulated
RMSPE,33.6881819101213,FS1_HT1,6,simulated
RSR,1.0543433386776946,FS1_HT1,6,simulated
r,0.13475507557285732,FS1_HT1,6,simulated
r2,0.05089956087824739,FS1_HT1,6,simulated
CCC,0.248879230661103,FS0_HT0,6,spectral
MAE,4.864486378922691,FS0_HT0,6,spectral
R2,0.002604610966970755,FS0_HT0,6,spectral
RMSE,6.2320020163231025,FS0_HT0,6,spectral
RMSPE,0.12511845759277365,FS0_HT0,6,spectral
RSR,0.9964047358470687,FS0_HT0,6,spectral
r,0.3025426555497554,FS0_HT0,6,spectral
r2,0.10323028038526667,FS0_HT0,6,spectral
CCC,0.24339822355020418,FS0_HT1,6,spectral
MAE,4.832517658973923,FS0_HT1,6,spectral
R2,0.020183480489596263,FS0_HT1,6,spectral
RMSE,6.178570734094654,FS0_HT1,6,spectral
RMSPE,0.12490583785953853,FS0_HT1,6,spectral
RSR,0.9890579026670931,FS0_HT1,6,spectral
r,0.2994918039757892,FS0_HT1,6,spectral
r2,0.09708490278857712,FS0_HT1,6,spectral
CCC,0.23113120882455013,FS1_HT0,6,spectral
MAE,4.852843838516868,FS1_HT0,6,spectral
R2,-0.0030552576439800026,FS1_HT0,6,spectral
RMSE,6.250099371240294,FS1_HT0,6,spectral
RMSPE,0.12666191530826926,FS1_HT0,6,spectral
RSR,0.9986171162663435,FS1_HT0,6,spectral
r,0.28344995184356003,FS1_HT0,6,spectral
r2,0.09724258090290576,FS1_HT0,6,spectral
CCC,0.20626289426676242,FS1_HT1,6,spectral
MAE,4.900966150357754,FS1_HT1,6,spectral
R2,-0.01704161479328521,FS1_HT1,6,spectral
RMSE,6.297258696018805,FS1_HT1,6,spectral
RMSPE,0.12755190108692882,FS1_HT1,6,spectral
RSR,1.00651070766054,FS1_HT1,6,spectral
r,0.2589305748892691,FS1_HT1,6,spectral
r2,0.08286375603416855,FS1_HT1,6,spectral
CCC,0.33024931108986044,FS0_HT0,7,simulated
MAE,0.7790030000594423,FS0_HT0,7,simulated
R2,-0.02018500227500577,FS0_HT0,7,simulated
RMSE,0.9359737164926394,FS0_HT0,7,simulated
RMSPE,2.6922902960598973,FS0_HT0,7,simulated
RSR,0.998762637525178,FS0_HT0,7,simulated
r,0.47104873699685584,FS0_HT0,7,simulated
r2,0.2471908735399579,FS0_HT0,7,simulated
CCC,0.38054076848282364,FS0_HT1,7,simulated
MAE,0.7339935509479505,FS0_HT1,7,simulated
R2,0.07323397790873747,FS0_HT1,7,simulated
RMSE,0.8828705992623347,FS0_HT1,7,simulated
RMSPE,4.216700278783863,FS0_HT1,7,simulated
RSR,0.9519973055096969,FS0_HT1,7,simulated
r,0.4834756974647105,FS0_HT1,7,simulated
r2,0.2741954994739355,FS0_HT1,7,simulated
CCC,0.017931789305135525,FS1_HT0,7,simulated
MAE,0.986720750254055,FS1_HT0,7,simulated
R2,-0.7887013141056334,FS1_HT0,7,simulated
RMSE,1.2043395188566421,FS1_HT0,7,simulated
RMSPE,4.641856668180847,FS1_HT0,7,simulated
RSR,1.3121048063202376,FS1_HT0,7,simulated
r,0.07416510346831857,FS1_HT0,7,simulated
r2,0.07988152638593035,FS1_HT0,7,simulated
CCC,0.04966092128050113,FS1_HT1,7,simulated
MAE,0.8891479355655963,FS1_HT1,7,simulated
R2,-0.4370281624757437,FS1_HT1,7,simulated
RMSE,1.0949965271914297,FS1_HT1,7,simulated
RMSPE,3.0387398737497464,FS1_HT1,7,simulated
RSR,1.1819623518400635,FS1_HT1,7,simulated
r,0.078661375622371,FS1_HT1,7,simulated
r2,0.07721619266713922,FS1_HT1,7,simulated
CCC,0.1974938848755156,FS0_HT0,7,spectral
MAE,5.071708872211616,FS0_HT0,7,spectral
R2,-0.12353913637115951,FS0_HT0,7,spectral
RMSE,6.506907702856691,FS0_HT0,7,spectral
RMSPE,0.13043192888391691,FS0_HT0,7,spectral
RSR,1.0462565105855135,FS0_HT0,7,spectral
r,0.25257621641720235,FS0_HT0,7,spectral
r2,0.09893124234123687,FS0_HT0,7,spectral
