metric,mean,method,i,dataset
CCC,0.2745130099880278,FS0_HT1,1,spectral
MAE,4.710073416340315,FS0_HT1,1,spectral
R2,0.07839226231333518,FS0_HT1,1,spectral
RMSE,6.009609299223142,FS0_HT1,1,spectral
RMSPE,0.1213832477727558,FS0_HT1,1,spectral
RSR,0.9590383475051887,FS0_HT1,1,spectral
r,0.3474819826754497,FS0_HT1,1,spectral
r2,0.12483474484927501,FS0_HT1,1,spectral
CCC,0.2723099473149092,FS1_HT0,1,spectral
MAE,4.669296760763997,FS1_HT0,1,spectral
R2,0.09268641805391147,FS1_HT0,1,spectral
RMSE,5.964005546073186,FS1_HT0,1,spectral
RMSPE,0.12068584359220395,FS1_HT0,1,spectral
RSR,0.951706895611599,FS1_HT0,1,spectral
r,0.3490992042865756,FS1_HT0,1,spectral
r2,0.12796816427892355,FS1_HT0,1,spectral
CCC,0.2689277650348885,FS1_HT1,1,spectral
MAE,4.72355176615598,FS1_HT1,1,spectral
R2,0.07972333474040436,FS1_HT1,1,spectral
RMSE,6.005254167995647,FS1_HT1,1,spectral
RMSPE,0.12148293119351401,FS1_HT1,1,spectral
RSR,0.958356378263734,FS1_HT1,1,spectral
r,0.3385911115294995,FS1_HT1,1,spectral
r2,0.12088645835619964,FS1_HT1,1,spectral
CCC,0.21214518911220984,FS0_HT0,2,simulated
MAE,0.8652638324617323,FS0_HT0,2,simulated
R2,-0.10507751436090543,FS0_HT0,2,simulated
RMSE,1.0721401505228498,FS0_HT0,2,simulated
RMSPE,7.73054296932847,FS0_HT0,2,simulated
RSR,1.0457617170745268,FS0_HT0,2,simulated
r,0.3131529655969243,FS0_HT0,2,simulated
r2,0.12695774969406426,FS0_HT0,2,simulated
CCC,0.22678392963006896,FS0_HT1,2,simulated
MAE,0.8709643286425385,FS0_HT1,2,simulated
R2,-0.11164913468423258,FS0_HT1,2,simulated
RMSE,1.0679734465623616,FS0_HT1,2,simulated
RMSPE,6.635436153916149,FS0_HT1,2,simulated
RSR,1.0455039400824253,FS0_HT1,2,simulated
r,0.2926777203089843,FS0_HT1,2,simulated
r2,0.14871691523702818,FS0_HT1,2,simulated
CCC,-0.10436172995248627,FS1_HT0,2,simulated
MAE,1.0497645430895386,FS1_HT0,2,simulated
R2,-0.6114356022514441,FS1_HT0,2,simulated
RMSE,1.2884443300385588,FS1_HT0,2,simulated
RMSPE,6.239476847523183,FS1_HT0,2,simulated
RSR,1.2544564682243893,FS1_HT0,2,simulated
r,-0.11714387581765791,FS1_HT0,2,simulated
r2,0.05957530743480888,FS1_HT0,2,simulated
CCC,-0.05740751712146941,FS1_HT1,2,simulated
MAE,0.9968115826122137,FS1_HT1,2,simulated
R2,-0.37519539010430697,FS1_HT1,2,simulated
RMSE,1.2074273149166381,FS1_HT1,2,simulated
RMSPE,4.454243886905996,FS1_HT1,2,simulated
RSR,1.1678397274707621,FS1_HT1,2,simulated
r,-0.0968656979709694,FS1_HT1,2,simulated
r2,0.07111195763490434,FS1_HT1,2,simulated
CCC,0.29343400076183573,FS0_HT0,2,spectral
MAE,4.669370340048358,FS0_HT0,2,spectral
R2,0.09801515343641828,FS0_HT0,2,spectral
RMSE,5.94304489467535,FS0_HT0,2,spectral
RMSPE,0.11937191210440874,FS0_HT0,2,spectral
RSR,0.9478962428707455,FS0_HT0,2,spectral
r,0.3723365843943861,FS0_HT0,2,spectral
r2,0.1462810516484002,FS0_HT0,2,spectral
CCC,0.2897828807092161,FS0_HT1,2,spectral
MAE,4.695314833993543,FS0_HT1,2,spectral
R2,0.08733085701421142,FS0_HT1,2,spectral
RMSE,5.974259972467208,FS0_HT1,2,spectral
RMSPE,0.12016944351575723,FS0_HT1,2,spectral
RSR,0.9532151848896794,FS0_HT1,2,spectral
r,0.3643209490933181,FS0_HT1,2,spectral
r2,0.1414312752259527,FS0_HT1,2,spectral
CCC,0.2613581555491973,FS1_HT0,2,spectral
MAE,4.840011856495246,FS1_HT0,2,spectral
R2,0.022319372314434305,FS1_HT0,2,spectral
RMSE,6.142747236785891,FS1_HT0,2,spectral
RMSPE,0.12403366939185745,FS1_HT0,2,spectral
RSR,0.9820197996874891,FS1_HT0,2,spectral
r,0.3329590469181397,FS1_HT0,2,spectral
r2,0.13418826972277326,FS1_HT0,2,spectral
CCC,0.2853847690195257,FS1_HT1,2,spectral
MAE,4.880297812318874,FS1_HT1,2,spectral
R2,0.02523398930738092,FS1_HT1,2,spectral
RMSE,6.166900916703664,FS1_HT1,2,spectral
RMSPE,0.12243856709439238,FS1_HT1,2,spectral
RSR,0.9847308207422518,FS1_HT1,2,spectral
r,0.3427047840689981,FS1_HT1,2,spectral
r2,0.12309691256801805,FS1_HT1,2,spectral
CCC,0.3401807093059427,FS0_HT0,3,simulated
MAE,0.7507966567663538,FS0_HT0,3,simulated
R2,0.10996239650710662,FS0_HT0,3,simulated
RMSE,0.9222398136222342,FS0_HT0,3,simulated
RMSPE,2.1415841927920405,FS0_HT0,3,simulated
RSR,0.9377365744256941,FS0_HT0,3,simulated
r,0.5260328556949925,FS0_HT0,3,simulated
r2,0.29253063433379267,FS0_HT0,3,simulated
CCC,0.24862053614089435,FS0_HT1,3,simulated
MAE,0.817862161741018,FS0_HT1,3,simulated
R2,-0.04330208430698486,FS0_HT1,3,simulated
RMSE,0.9968422330108956,FS0_HT1,3,simulated
RMSPE,4.089059957353415,FS0_HT1,3,simulated
RSR,1.0172268921549643,FS0_HT1,3,simulated
r,0.3691552082727076,FS0_HT1,3,simulated
r2,0.15595012737013855,FS0_HT1,3,simulated
CCC,-0.04808394594040357,FS1_HT0,3,simulated
MAE,0.9787201028470003,FS1_HT0,3,simulated
R2,-0.5497963394858967,FS1_HT0,3,simulated
RMSE,1.2162094055727246,FS1_HT0,3,simulated
RMSPE,5.449564611655491,FS1_HT0,3,simulated
RSR,1.239516835843293,FS1_HT0,3,simulated
r,-0.06280514840043432,FS1_HT0,3,simulated
r2,0.021129790465509106,FS1_HT0,3,simulated
CCC,-0.08096996223471645,FS1_HT1,3,simulated
MAE,0.9235961796191969,FS1_HT1,3,simulated
R2,-0.4106737407141928,FS1_HT1,3,simulated
RMSE,1.1604479059800856,FS1_HT1,3,simulated
RMSPE,4.225747705846233,FS1_HT1,3,simulated
RSR,1.1815171619561178,FS1_HT1,3,simulated
r,-0.1442457373777711,FS1_HT1,3,simulated
r2,0.0440996481418072,FS1_HT1,3,simulated
CCC,0.27464198966956554,FS0_HT0,3,spectral
MAE,4.724169071355094,FS0_HT0,3,spectral
R2,0.08076033432748368,FS0_HT0,3,spectral
RMSE,6.040485570506398,FS0_HT0,3,spectral
RMSPE,0.12176464063639154,FS0_HT0,3,spectral
RSR,0.9579983055707135,FS0_HT0,3,spectral
r,0.3366539720180824,FS0_HT0,3,spectral
r2,0.12128160549847478,FS0_HT0,3,spectral
CCC,0.2528160169511017,FS0_HT1,3,spectral
MAE,4.911890160407186,FS0_HT1,3,spectral
R2,0.006751079297898799,FS0_HT1,3,spectral
RMSE,6.272656554463699,FS0_HT1,3,spectral
RMSPE,0.12483560520079402,FS0_HT1,3,spectral
RSR,0.9949351631238675,FS0_HT1,3,spectral
r,0.2988922106672426,FS0_HT1,3,spectral
r2,0.09766588817365578,FS0_HT1,3,spectral
CCC,0.21834165299052022,FS1_HT0,3,spectral
MAE,5.052501285821958,FS1_HT0,3,spectral
R2,-0.04793833712328719,FS1_HT0,3,spectral
RMSE,6.426005196809436,FS1_HT0,3,spectral
RMSPE,0.1289542897692641,FS1_HT0,3,spectral
RSR,1.0197270440876705,FS1_HT0,3,spectral
r,0.2734284996184587,FS1_HT0,3,spectral
r2,0.08382148311983117,FS1_HT0,3,spectral
CCC,0.23198555264520468,FS1_HT1,3,spectral
MAE,4.7799663611933685,FS1_HT1,3,spectral
R2,0.04398345864783586,FS1_HT1,3,spectral
RMSE,6.159883121324787,FS1_HT1,3,spectral
RMSPE,0.12445269736992617,FS1_HT1,3,spectral
RSR,0.9771553701904633,FS1_HT1,3,spectral
r,0.2952394142313965,FS1_HT1,3,spectral
r2,0.09195973326348013,FS1_HT1,3,spectral
CCC,0.40726975283167083,FS0_HT0,4,simulated
MAE,0.6298405639095159,FS0_HT0,4,simulated
R2,0.08726531345093894,FS0_HT0,4,simulated
RMSE,0.7769994085589584,FS0_HT0,4,simulated
RMSPE,4.778811921693716,FS0_HT0,4,simulated
RSR,0.9351224308095099,FS0_HT0,4,simulated
r,0.5455148481514539,FS0_HT0,4,simulated
r2,0.33448840326610485,FS0_HT0,4,simulated
CCC,0.3026441776870781,FS0_HT1,4,simulated
MAE,0.6988603793741671,FS0_HT1,4,simulated
R2,-0.04516287021936265,FS0_HT1,4,simulated
RMSE,0.8320695500695656,FS0_HT1,4,simulated
