trial,FNR,FPR,TNR,TPR,accuracy,f05,f1,f2,mcc,precision,recall,sensitivity,specificity,pos,conf
pos_1-conf_1,4.133983464066149e-05,0.8854085354520812,0.11459146454791885,0.9999586601653593,0.20341800000000002,0.13597101410601276,0.20101602223193843,0.3855778400792273,0.1129426461515726,0.11184683850696818,0.9999586601653593,0.9999586601653593,0.11459146454791885,1,1
pos_1-conf_3,0.010743778047699756,0.41970624725552624,0.5802937527444737,0.9892562219523002,0.621326,0.24700919514104794,0.34342892843915535,0.5638517405301217,0.342204803549416,0.2080802587363524,0.9892562219523002,0.9892562219523002,0.5802937527444737,1,3
pos_1-conf_5,0.1103173758272537,0.10927056547640154,0.8907294345235984,0.8896826241727462,0.890636,0.5242010708675655,0.6191148153531263,0.7568261173957839,0.6001694656568016,0.47570773658960624,0.8896826241727462,0.8896826241727462,0.8907294345235984,1,5
pos_1-conf_7,0.419202059987033,0.011027879292762117,0.9889721207072378,0.580797940012967,0.9480040000000001,0.7798354079364191,0.6903471168132226,0.6199886528831089,0.6785918328762753,0.8546507982911595,0.580797940012967,0.580797940012967,0.9889721207072378,1,7
pos_1-conf_9,0.8869621463208318,8.232277552809797e-05,0.9999176772244719,0.11303785367916812,0.910938,0.38166499696893974,0.20148521220278573,0.13709171801270995,0.3161373324281437,0.9934999631087866,0.11303785367916812,0.11303785367916812,0.9999176772244719,1,9
pos_3-conf_1,9.246001121066105e-05,0.8855769094428417,0.11442309055715832,0.9999075399887893,0.38098200000000004,0.3779940830859389,0.4928330514621941,0.7081503851679755,0.19303418640616196,0.3271833834857326,0.9999075399887893,0.9999075399887893,0.11442309055715832,3,1
pos_3-conf_3,0.011226880614119628,0.42099104164061796,0.579008958359382,0.9887731193858804,0.70236,0.5575624456146198,0.6664131131470463,0.8283242506934309,0.5298265817155882,0.502841345517099,0.9887731193858804,0.9887731193858804,0.579008958359382,3,3
pos_3-conf_5,0.10952918291534644,0.10873691118161923,0.8912630888183808,0.8904708170846535,0.8910399999999999,0.7989575620960601,0.8308595176670722,0.8655706071699347,0.754792168183724,0.7790796482328524,0.8904708170846535,0.8904708170846535,0.8912630888183808,3,5
pos_3-conf_7,0.42245090923007694,0.010760360302656069,0.989239639697344,0.577549090769923,0.865324,0.8464283115996818,0.720409818294169,0.6272610954653219,0.6746065664064967,0.9585834436768955,0.577549090769923,0.577549090769923,0.989239639697344,3,7
pos_3-conf_9,0.885645614057538,3.993745987501085e-05,0.999960062540125,0.11435438594246192,0.7333679999999999,0.3901998482409628,0.20476763171417273,0.13887631760599564,0.28667249257166716,0.9991522846376002,0.11435438594246192,0.11435438594246192,0.999960062540125,3,9
pos_5-conf_1,5.560477693918764e-05,0.885398017179992,0.11460198282000797,0.9999443952230609,0.555938,0.5838379567473874,0.6917007076978673,0.8485880371505591,0.24553174746992446,0.5288769185347071,0.9999443952230609,0.9999443952230609,0.11460198282000797,5,1
pos_5-conf_3,0.01129156822290828,0.4200260267179966,0.5799739732820034,0.9887084317770918,0.78371,0.7438736828772653,0.8199459278614384,0.9134545071874588,0.6225314363498677,0.7005702486117985,0.9887084317770918,0.9887084317770918,0.5799739732820034,5,3
pos_5-conf_5,0.1098485040252101,0.10971108006352555,0.8902889199364745,0.8901514959747899,0.89019,0.8896708847098418,0.8897963794741612,0.889987503985442,0.7803930032536326,0.8896236040000937,0.8901514959747899,0.8901514959747899,0.8902889199364745,5,5
pos_5-conf_7,0.42071281179088427,0.010992201805891803,0.9890077981941082,0.5792871882091158,0.78475,0.8614213792684172,0.7282589234285746,0.6308818039424166,0.6234561657075884,0.9812733956258444,0.5792871882091158,0.5792871882091158,0.9890077981941082,5,7
pos_5-conf_9,0.8859690680141986,6.770705704632207e-05,0.9999322929429537,0.11403093198580141,0.558316,0.3899547551582862,0.2043620786440578,0.13851721280402843,0.24551263650942895,0.9993966096806187,0.11403093198580141,0.11403093198580141,0.9999322929429537,5,9
pos_7-conf_1,6.90409397864451e-05,0.8867239871323853,0.11327601286761461,0.9999309590602136,0.7321559999999999,0.7650932186497285,0.8389303959843014,0.928612788628308,0.28491720812315147,0.7227075975990706,0.9999309590602136,0.9999309590602136,0.11327601286761461,7,1
pos_7-conf_3,0.010988596726962266,0.41941065388352416,0.580589346116476,0.9890114032730378,0.865634,0.8702604862990528,0.9112568698191242,0.9563525051266036,0.676165222873983,0.8449367329618399,0.9890114032730378,0.9890114032730378,0.580589346116476,7,3
pos_7-conf_5,0.10924074758771761,0.10984850372279797,0.890151496277202,0.8907592524122824,0.890584,0.9369917468460891,0.9190751420503992,0.9018633334480544,0.7541296655894087,0.94935038487327,0.8907592524122824,0.8907592524122824,0.890151496277202,7,5
pos_7-conf_7,0.41961333540309437,0.010752345733086088,0.989247654266914,0.5803866645969056,0.70388,0.868623359351221,0.7321578030840631,0.6328412697250808,0.5320077513784162,0.9920688040583291,0.5803866645969056,0.5803866645969056,0.989247654266914,7,7
pos_7-conf_9,0.885840917137395,5.353906146216292e-05,0.9999464609385378,0.11415908286260505,0.38167399999999996,0.39086714865719613,0.20470509326087968,0.13869585569716983,0.19314096828343397,0.9997935005112316,0.11415908286260505,0.11415908286260505,0.9999464609385378,7,9
pos_9-conf_1,5.328215130048686e-05,0.8870370450726258,0.1129629549273742,0.9999467178486996,0.911544,0.9271407870493839,0.9531497159507828,0.9806799448000117,0.3165238312312107,0.9105848485936723,0.9999467178486996,0.9999467178486996,0.1129629549273742,9,1
pos_9-conf_3,0.011243854583117984,0.4207377663078171,0.5792622336921828,0.988756145416882,0.9479599999999999,0.9615808769618027,0.971585153348087,0.9818114319814991,0.6760366934809814,0.9550309855641299,0.988756145416882,0.988756145416882,0.5792622336921828,9,3
pos_9-conf_5,0.10928003958647395,0.1076728535264938,0.8923271464735062,0.8907199604135261,0.890884,0.9659463573515582,0.9362740119310939,0.9083923288605216,0.6006852036759769,0.9868110494665302,0.8907199604135261,0.8907199604135261,0.8923271464735062,9,5
pos_9-conf_7,0.41995745867491363,0.010392665032538956,0.989607334967461,0.5800425413250863,0.620856,0.8721656763006918,0.7335467191589795,0.6330155300363954,0.34127650986410185,0.9980257158527082,0.5800425413250863,0.5800425413250863,0.989607334967461,9,7
pos_9-conf_9,0.8857778826190659,4.159519725557459e-05,0.9999584048027444,0.11422211738093417,0.202484,0.39133162681414196,0.20487506866662544,0.13878381394583814,0.11235436161386698,0.9999617799617799,0.11422211738093417,0.11422211738093417,0.9999584048027444,9,9
